Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop
22933,2018_金龟村,4376.0,2350.0,2026.0,2776.0,False,47.0,0.0,4.0,1.0,0.0,1.0,5.0,14.0,7.0,1.0,0.0,2.0,0.0,8.0,2805,288.0
22934,2018_金龟社区,1504.0,866.0,638.0,2968.0,False,23.0,0.0,6.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,2997,383.0
22935,2018_鑫三和汽修厂,1554.0,996.0,558.0,4042.0,False,188.0,8.0,17.0,56.0,25.0,13.0,2.0,50.0,0.0,4.0,5.0,1.0,4.0,4.0,4071,6094.0
22936,2018_鑫鑫田工业园,2214.0,1288.0,926.0,2538.0,False,151.0,18.0,15.0,12.0,33.0,14.0,6.0,27.0,24.0,7.0,8.0,0.0,7.0,0.0,2579,2943.0
22937,2018_钟屋,13224.0,7606.0,5618.0,1552.0,False,326.0,96.0,42.0,23.0,53.0,41.0,10.0,71.0,5.0,8.0,13.0,4.0,9.0,15.0,1564,14565.0
22938,2018_钟屋新村,5022.0,3214.0,1808.0,8460.0,True,279.0,16.0,31.0,22.0,37.0,24.0,10.0,96.0,14.0,8.0,8.0,1.0,7.0,14.0,8732,18747.0
22939,2018_钟表基地,312.0,188.0,124.0,4730.0,False,35.0,0.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4832,2102.0
22940,2018_钱排村,14764.0,8044.0,6720.0,164.0,True,12.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,164,9682.0
22941,2018_铁塔科技园,180.0,130.0,50.0,3767.0,False,104.0,8.0,27.0,8.0,7.0,9.0,3.0,59.0,5.0,0.0,0.0,0.0,4.0,2.0,3796,4512.0
22942,2018_铁岗公园,804.0,434.0,370.0,2035.0,False,126.0,20.0,25.0,6.0,5.0,9.0,7.0,34.0,2.0,3.0,3.0,8.0,2.0,5.0,2062,372.0
22943,2018_铁岗村,6228.0,3388.0,2840.0,2034.0,False,383.0,28.0,58.0,29.0,67.0,47.0,12.0,72.0,18.0,16.0,12.0,11.0,14.0,13.0,2061,428.0
22944,2018_铁岗水库,1020.0,510.0,510.0,2203.0,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2245,1311.0
22945,2018_铁岗水库西门,3304.0,1786.0,1518.0,2422.0,False,29.0,0.0,6.0,0.0,0.0,1.0,2.0,10.0,5.0,2.0,0.0,0.0,2.0,0.0,2464,363.0
22946,2018_铁岗路口,17472.0,9142.0,8330.0,2060.0,False,168.0,32.0,26.0,10.0,62.0,6.0,0.0,42.0,10.0,2.0,3.0,0.0,2.0,5.0,2087,8326.0
22947,2018_铁扇关门,82.0,64.0,18.0,4916.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5048,5.0
22948,2018_铁路拘留所,320.0,206.0,114.0,2893.0,False,86.0,20.0,18.0,4.0,11.0,4.0,0.0,27.0,2.0,4.0,1.0,2.0,2.0,0.0,2922,6774.0
22949,2018_铁路桥,38058.0,23248.0,14810.0,3465.0,True,647.0,20.0,98.0,54.0,86.0,49.0,15.0,233.0,18.0,21.0,10.0,1.0,24.0,22.0,3494,5001.0
22950,2018_铭可达物流园,662.0,366.0,296.0,5064.0,False,82.0,2.0,27.0,7.0,14.0,4.0,4.0,29.0,0.0,0.0,1.0,0.0,2.0,0.0,5193,2113.0
22951,2018_银威路口,874.0,430.0,444.0,2867.0,True,509.0,8.0,54.0,34.0,102.0,54.0,61.0,197.0,8.0,20.0,14.0,2.0,22.0,18.0,2896,4532.0
22952,2018_银星工业区,7570.0,4624.0,2946.0,2164.0,False,113.0,6.0,11.0,11.0,20.0,11.0,7.0,44.0,0.0,4.0,6.0,0.0,6.0,2.0,2191,4541.0
22953,2018_银河新村,34632.0,19314.0,15318.0,1242.0,True,270.0,22.0,24.0,33.0,73.0,34.0,6.0,50.0,7.0,2.0,15.0,0.0,1.0,6.0,1254,5323.0
22954,2018_银泉花园,16882.0,9294.0,7588.0,1130.0,False,572.0,74.0,115.0,55.0,83.0,83.0,15.0,199.0,3.0,12.0,10.0,0.0,13.0,15.0,1128,5833.0
22955,2018_银海工业区,10132.0,5322.0,4810.0,1212.0,True,99.0,22.0,22.0,2.0,11.0,6.0,5.0,14.0,10.0,5.0,4.0,0.0,1.0,2.0,1224,3226.0
22957,2018_银湖宿舍,3650.0,2028.0,1622.0,792.0,True,165.0,2.0,30.0,3.0,3.0,1.0,15.0,106.0,13.0,2.0,0.0,2.0,3.0,1.0,791,7936.0
22958,2018_银湖度假村,7934.0,4308.0,3626.0,791.0,False,95.0,2.0,20.0,5.0,2.0,6.0,9.0,45.0,4.0,2.0,1.0,2.0,6.0,5.0,790,2524.0
22959,2018_银湖度假村总站,1038.0,534.0,504.0,790.0,False,95.0,2.0,24.0,3.0,2.0,6.0,6.0,45.0,5.0,3.0,1.0,2.0,6.0,5.0,789,2871.0
22960,2018_银湖汽车站,16558.0,10276.0,6282.0,4735.0,True,161.0,2.0,12.0,16.0,7.0,15.0,5.0,110.0,7.0,0.0,5.0,2.0,4.0,7.0,4837,7063.0
22961,2018_银湖汽车站①,10412.0,6260.0,4152.0,92.0,True,161.0,2.0,12.0,16.0,7.0,15.0,5.0,110.0,7.0,0.0,5.0,2.0,4.0,7.0,92,7063.0
22962,2018_银湖汽车站②,12022.0,6582.0,5440.0,94.0,True,126.0,6.0,25.0,1.0,3.0,2.0,6.0,90.0,8.0,1.0,1.0,2.0,3.0,2.0,94,7211.0
22963,2018_银湖汽车站总站,8084.0,4010.0,4074.0,70.0,True,207.0,2.0,15.0,17.0,16.0,18.0,10.0,139.0,8.0,4.0,6.0,0.0,6.0,9.0,70,7422.0
22964,2018_银湖汽车站总站（北环路）,14.0,4.0,10.0,9705.0,True,726.0,14.0,85.0,45.0,101.0,87.0,55.0,311.0,42.0,22.0,19.0,4.0,34.0,20.0,9874,5615.0
22965,2018_银湖牌坊,12.0,6.0,6.0,812.0,False,54.0,0.0,15.0,2.0,0.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,0.0,1.0,811,4163.0
22966,2018_银湖综合楼,1946.0,1296.0,650.0,795.0,True,209.0,2.0,24.0,17.0,17.0,18.0,10.0,123.0,7.0,6.0,6.0,0.0,7.0,11.0,794,6839.0
22967,2018_银湖蓝山,18032.0,11454.0,6578.0,71.0,True,121.0,4.0,15.0,7.0,5.0,4.0,8.0,74.0,22.0,2.0,6.0,0.0,7.0,0.0,71,9849.0
22968,2018_银滩路口,194.0,86.0,108.0,5575.0,False,9.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,5717,222.0
22969,2018_银珠岭小区南,1590.0,1002.0,588.0,3001.0,False,222.0,44.0,43.0,31.0,21.0,10.0,8.0,92.0,14.0,6.0,4.0,0.0,11.0,2.0,3030,4220.0
22970,2018_银珠岭社区,422.0,232.0,190.0,5243.0,False,570.0,92.0,69.0,69.0,98.0,69.0,23.0,154.0,17.0,16.0,24.0,4.0,25.0,14.0,5371,4192.0
22971,2018_银田工业区,17436.0,10882.0,6554.0,1671.0,True,131.0,20.0,50.0,8.0,14.0,7.0,1.0,29.0,5.0,3.0,4.0,4.0,0.0,6.0,1683,19569.0
22972,2018_锦冠华城,464.0,266.0,198.0,2933.0,True,488.0,30.0,37.0,65.0,90.0,73.0,24.0,92.0,14.0,23.0,25.0,3.0,17.0,12.0,2962,3762.0
22973,2018_锦欣花园,574.0,330.0,244.0,2092.0,True,527.0,66.0,102.0,46.0,65.0,63.0,31.0,144.0,6.0,17.0,20.0,0.0,17.0,28.0,2119,15989.0
22974,2018_锦程文丰公交场站,24936.0,13360.0,11576.0,2097.0,False,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124,3548.0
22975,2018_锦绣中华,5776.0,3226.0,2550.0,7303.0,True,281.0,0.0,15.0,20.0,9.0,9.0,12.0,64.0,13.0,3.0,6.0,125.0,8.0,0.0,7577,4154.0
22976,2018_锦绣中华①,9944.0,5140.0,4804.0,307.0,True,332.0,2.0,39.0,17.0,17.0,15.0,11.0,96.0,0.0,6.0,6.0,141.0,5.0,5.0,307,5384.0
22977,2018_锦绣中华②,19918.0,10548.0,9370.0,818.0,True,281.0,0.0,15.0,20.0,9.0,9.0,12.0,64.0,13.0,3.0,6.0,125.0,8.0,0.0,817,4154.0
22978,2018_锦绣江南,21038.0,12102.0,8936.0,1606.0,False,625.0,14.0,72.0,84.0,122.0,73.0,40.0,149.0,3.0,11.0,35.0,0.0,40.0,30.0,1618,2860.0
22979,2018_锦绣江南西,3240.0,1514.0,1726.0,1131.0,False,540.0,18.0,45.0,73.0,87.0,46.0,53.0,155.0,8.0,14.0,33.0,3.0,44.0,21.0,1129,3750.0
22980,2018_锦绣江南西①,17138.0,9598.0,7540.0,1142.0,False,600.0,14.0,55.0,66.0,164.0,69.0,12.0,179.0,24.0,20.0,15.0,6.0,7.0,21.0,1140,3359.0
22981,2018_锦绣江南西②,14806.0,7908.0,6898.0,4226.0,False,657.0,36.0,86.0,69.0,134.0,96.0,18.0,211.0,17.0,18.0,13.0,5.0,7.0,18.0,4254,4462.0
22982,2018_锦绣科学园,3770.0,2494.0,1276.0,4558.0,False,192.0,22.0,57.0,16.0,28.0,14.0,4.0,55.0,9.0,2.0,8.0,1.0,3.0,2.0,4660,3634.0
22983,2018_锦绣花园,13838.0,7924.0,5914.0,2936.0,True,279.0,36.0,21.0,26.0,50.0,25.0,18.0,122.0,6.0,6.0,13.0,0.0,13.0,8.0,2965,4021.0
22984,2018_锦绣观园,598.0,350.0,248.0,4302.0,True,24.0,6.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4330,4533.0
22985,2018_锦绣观园公交总站,8484.0,5448.0,3036.0,4301.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4329,4894.0
22986,2018_锦绣金辉路口,4746.0,2920.0,1826.0,3996.0,False,141.0,4.0,11.0,9.0,26.0,32.0,1.0,50.0,0.0,0.0,3.0,0.0,0.0,5.0,4025,357.0
22987,2018_锦鲤农贸市场,3894.0,2158.0,1736.0,3436.0,False,377.0,56.0,31.0,41.0,78.0,42.0,13.0,71.0,3.0,6.0,15.0,5.0,33.0,17.0,3465,1993.0
22988,2018_锦鸿花园,792.0,506.0,286.0,4729.0,False,35.0,0.0,9.0,3.0,4.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,4831,2794.0
22989,2018_锦龙三路路口,10.0,8.0,2.0,3588.0,False,68.0,0.0,10.0,8.0,9.0,8.0,2.0,34.0,0.0,3.0,2.0,0.0,5.0,1.0,3617,1209.0
22990,2018_锦龙大道,320.0,182.0,138.0,3086.0,False,25.0,0.0,11.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3115,2721.0
22991,2018_长丰工业园,146.0,92.0,54.0,2044.0,True,72.0,0.0,34.0,1.0,1.0,0.0,1.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,2071,3344.0
22992,2018_长丰酒店,3888.0,2064.0,1824.0,1633.0,False,632.0,42.0,84.0,60.0,62.0,77.0,13.0,202.0,20.0,28.0,35.0,2.0,12.0,33.0,1645,15467.0
22993,2018_长兴工业园,4868.0,3000.0,1868.0,4598.0,False,294.0,14.0,62.0,24.0,52.0,40.0,6.0,46.0,2.0,7.0,18.0,0.0,14.0,12.0,4700,1898.0
22994,2018_长兴科技园,618.0,426.0,192.0,4820.0,False,153.0,18.0,40.0,10.0,21.0,16.0,1.0,25.0,1.0,1.0,4.0,0.0,9.0,4.0,4937,810.0
22995,2018_长凤路总站,17850.0,10232.0,7618.0,1304.0,False,32.0,10.0,8.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,594.0
