treat,总流量,高峰流量,平均乘距,生活类,休闲类,文化类,商务类,设施类,人口
False,9346.0,5198.0,4949.026719867073,3.0,9.0,4.0,1.0,4.0,5108.0
False,30464.0,16446.0,5396.354898452183,10.0,21.0,4.0,11.0,6.0,3852.0
False,880.0,488.0,1729.9667643034893,6.0,22.0,2.0,4.0,4.0,3553.0
False,630.0,328.0,2317.302261198172,68.0,202.0,8.0,16.0,22.0,2327.0
False,2452.0,1216.0,2423.9408186662918,109.0,216.0,17.0,29.0,8.0,7680.0
False,6184.0,3108.0,2156.455865731862,90.0,169.0,11.0,27.0,8.0,6786.0
False,50.0,18.0,1676.093075180867,26.0,60.0,13.0,3.0,10.0,1844.0
True,748.0,318.0,877.3252795944937,195.0,493.0,25.0,45.0,60.0,21787.0
True,25306.0,13758.0,3895.5425221852593,145.0,182.0,23.0,71.0,70.0,20469.0
False,1350.0,704.0,5284.994762949777,21.0,59.0,4.0,14.0,6.0,3919.0
False,422.0,230.0,952.4643113958645,121.0,368.0,32.0,33.0,34.0,12831.0
False,1326.0,700.0,1631.6753626122313,143.0,759.0,58.0,48.0,46.0,5529.0
False,318.0,192.0,1294.8596996305498,162.0,350.0,26.0,84.0,0.0,4962.0
True,1370.0,704.0,2035.374700273416,12.0,13.0,2.0,0.0,6.0,817.0
False,770.0,524.0,2140.7583139026465,56.0,77.0,1.0,6.0,4.0,2001.0
False,498.0,272.0,2850.8419934276158,3.0,6.0,2.0,1.0,4.0,3557.0
False,750.0,444.0,3256.4870057712988,0.0,0.0,0.0,0.0,0.0,3607.0
False,3344.0,1924.0,4310.348645288141,0.0,1.0,2.0,1.0,20.0,864.0
False,2080.0,1028.0,1476.2144291008028,19.0,91.0,4.0,12.0,0.0,4383.0
True,12934.0,7494.0,2382.8402372959613,81.0,145.0,5.0,151.0,32.0,3946.0
False,3684.0,1990.0,10095.819031731962,151.0,189.0,26.0,57.0,42.0,5034.0
True,2512.0,1360.0,2419.7955351424293,101.0,199.0,7.0,25.0,24.0,5230.0
True,920.0,474.0,7634.17008076505,140.0,197.0,41.0,155.0,92.0,6044.0
True,5072.0,2310.0,3811.7724258809903,122.0,321.0,33.0,42.0,48.0,6271.0
True,3430.0,1662.0,4439.923358967431,74.0,239.0,34.0,72.0,52.0,6145.0
False,3474.0,1906.0,2226.997722162062,78.0,35.0,10.0,26.0,44.0,9889.0
False,36.0,24.0,2995.2874433093707,125.0,450.0,45.0,49.0,52.0,6345.0
False,668.0,448.0,1520.243429108019,157.0,402.0,45.0,86.0,76.0,5544.0
False,1442.0,748.0,1590.32499939009,4.0,14.0,2.0,1.0,2.0,198.0
False,46.0,32.0,3440.6543882097417,45.0,189.0,6.0,8.0,16.0,2357.0
True,1166.0,610.0,5005.309434528651,203.0,618.0,53.0,178.0,52.0,2554.0
False,3868.0,2030.0,14902.241889925854,14.0,64.0,5.0,2.0,10.0,3002.0
False,2316.0,1258.0,9887.708739303733,96.0,229.0,22.0,41.0,58.0,2359.0
False,438.0,284.0,3824.1415787127175,1.0,1.0,1.0,0.0,8.0,159.0
True,9226.0,5072.0,2354.8689056876506,55.0,256.0,13.0,27.0,50.0,7880.0
