Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop,站点,平均乘距,year,station_name,cos_theta,cos_abs
126,2015_上木古村委,6340.0,3992.0,2348.0,5480.0,False,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5622,6738.0,2015_上木古村委,729.7721815177258,2015,上木古村委,0.49101119295278056,0.49101119295278056
128,2015_上李朗村,14388.0,7534.0,6854.0,3143.0,False,195.0,2.0,5.0,22.0,63.0,36.0,7.0,22.0,4.0,1.0,8.0,1.0,6.0,3.0,3172,2177.0,2015_上李朗村,2977.064180875313,2015,上李朗村,-0.9390281349900639,0.9390281349900639
130,2015_上李朗第二工业区,2774.0,1644.0,1130.0,3145.0,False,40.0,0.0,5.0,3.0,2.0,3.0,1.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,3174,2875.0,2015_上李朗第二工业区,1789.7362636440446,2015,上李朗第二工业区,-0.8484794831027846,0.8484794831027846
131,2015_上村元山,3838.0,2134.0,1704.0,3796.0,False,334.0,34.0,24.0,31.0,152.0,44.0,11.0,12.0,9.0,6.0,6.0,1.0,3.0,5.0,3825,6820.0,2015_上村元山,3111.727086929251,2015,上村元山,0.988324701056129,0.988324701056129
133,2015_上村莲塘,848.0,442.0,406.0,8349.0,False,132.0,2.0,5.0,22.0,55.0,21.0,5.0,0.0,4.0,4.0,4.0,2.0,3.0,2.0,8622,2072.0,2015_上村莲塘,2359.8847261144333,2015,上村莲塘,0.8669961630657154,0.8669961630657154
134,2015_上林苑,13188.0,6280.0,6908.0,1082.0,False,534.0,40.0,28.0,99.0,156.0,47.0,17.0,112.0,38.0,14.0,5.0,0.0,21.0,5.0,1080,15244.0,2015_上林苑,4969.781113589992,2015,上林苑,-0.4966555487107977,0.4966555487107977
141,2015_上横朗,4916.0,2682.0,2234.0,2917.0,False,23.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2946,5792.0,2015_上横朗,4602.483689077094,2015,上横朗,0.11861069794845726,0.11861069794845726
142,2015_上横朗市场,7262.0,4076.0,3186.0,4378.0,False,54.0,0.0,3.0,7.0,14.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4451,9036.0,2015_上横朗市场,3450.373059223491,2015,上横朗市场,0.04638641198076778,0.04638641198076778
143,2015_上横朗村,9306.0,5404.0,3902.0,2147.0,False,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174,7837.0,2015_上横朗村,2752.6462545872573,2015,上横朗村,-0.10851943439243468,0.10851943439243468
145,2015_上步中学②,4014.0,2010.0,2004.0,1642.0,False,769.0,14.0,39.0,23.0,36.0,34.0,22.0,56.0,5.0,2.0,1.0,0.0,1.0,2.0,1654,5622.0,2015_上步中学②,10880.280429228002,2015,上步中学②,-0.8188731576998993,0.8188731576998993
